idx,y_true,p_y1_r0,p_y1_r1,p_y1_r2,p_y1_r3,p_y1_r4,p_y1_r5,p_y1_r6,p_y1_r7,p_y1_r8,p_y1_r9,p_y1_r10,p_y1_r11,p_y1_r12,p_y1_r13,p_y1_r14,p_y1_r15,p_y1_r16,p_y1_r17,p_y1_r18,p_y1_r19,p_y1_mean,p_y1_std
0,0,0.2700120050888712,0.2773278109370907,0.2579798395577864,0.23632338434455516,0.3714406003916423,0.221291237424581,0.28755774812405166,0.3121868944055064,0.31421040798238936,0.2742397452986872,0.2988867167980897,0.2055470639861863,0.22607220100256928,0.25489468501429885,0.3913611290913389,0.27477270061888215,0.3108367067129008,0.25649748594569555,0.25857583380412436,0.20571292217002854,0.27528635593496376,0.047701000952115095
1,0,0.1279093052063733,0.15174544337604043,0.18049231034306257,0.11236756232224486,0.17549198375949793,0.12385467834305847,0.15086155206266114,0.122727936466788,0.13550440068078168,0.10395914185628999,0.15241010616232178,0.1180278393653775,0.12165143055867365,0.12589926571268223,0.14453284893815263,0.12508821974822357,0.11495112089660443,0.17048274535086141,0.1431489892903016,0.15527025694641586,0.13781885686932063,0.021287216012033747
2,0,0.04861470835512053,0.03817298615820908,0.06107721778324139,0.04645327456136668,0.026769567764138146,0.041804095382932886,0.04377930523640109,0.03694261811019456,0.047158910310391856,0.0487134951775183,0.04503211141128039,0.041345894458755604,0.05364452366867031,0.03507085485778393,0.032427931507952375,0.046800815801455065,0.036088708946201656,0.04036949271507511,0.041426097777061244,0.03741919692826885,0.04245559034560096,0.007540791739166302
3,0,0.06373711623015733,0.05625701230979779,0.07955965106906082,0.06923737637914276,0.08435743138976191,0.07546914829101709,0.07831837122874949,0.08580130366115862,0.08421878725004424,0.06785384152801299,0.06790579288524824,0.0805147225184391,0.07317332911206252,0.08880876906012629,0.06058863121699078,0.08185612267145308,0.0791041889118499,0.07461186689053295,0.10268532650265275,0.08094848604360669,0.07675036375749328,0.010418011931456594
4,0,0.12939314823750564,0.14367775994794865,0.16888412909391784,0.15993148602693597,0.1449741245100805,0.11461238782030034,0.20105687468002584,0.1546811617250836,0.13641599282642033,0.1790228090844674,0.11755349890570582,0.17198363839867886,0.12913445829771442,0.13884354531703827,0.14414721665757677,0.13889954689436862,0.1547268761300609,0.14137216242213604,0.1942462680452082,0.15681724274004535,0.151018716388061,0.022568306645494092
5,0,0.7373316371396851,0.5513132492949873,0.6625167112932927,0.5323401229563519,0.6501782233961785,0.5796969949131847,0.49923997527005204,0.6908456658880279,0.6321774556908081,0.5150618946053602,0.5708844036876268,0.5355900800199043,0.6718040326119291,0.5921266965885684,0.5178023938461539,0.6835046710810749,0.5874514255505736,0.5242576106653786,0.7296225214873265,0.6055383749994524,0.6034642070492959,0.07270925118088001
6,0,0.1301252149027731,0.18418816600102736,0.15459496546963553,0.129310410671557,0.195994392324728,0.1584520861999873,0.12446785700634093,0.15941080620764617,0.09352718893980558,0.17277572905868163,0.17349471774024375,0.1805379708237034,0.17955367024861463,0.14646542196794646,0.16387837197595326,0.15272273155609684,0.1855490314970841,0.16759380250145392,0.1332636324215546,0.1543142500838894,0.15701102087993613,0.02460458176005748
7,0,0.2187548725493287,0.22757540239750784,0.22596600472543887,0.2610642308983471,0.22868826288259256,0.23699757242594804,0.23277179254872496,0.2681996511653531,0.2188238337382399,0.2479960546108033,0.21207438864675834,0.23644708334415007,0.2696670511016729,0.2828489773073152,0.2484797919766909,0.19767165119385388,0.20087157110060777,0.2671388078549436,0.25153862107916763,0.2411105849914735,0.23873431032694592,0.022896828877490144
8,0,0.2079133375986522,0.15993062715282177,0.1506273408150299,0.18106769121248356,0.17732488890513368,0.21406794928581496,0.1727882787377787,0.1747076614405157,0.1450950953497168,0.1782082439541929,0.19886211903594633,0.14266437808221494,0.19639026109105653,0.16952132343513154,0.19319203285547398,0.15479000608288246,0.16382042478174935,0.23596126343763763,0.15800354327029184,0.20200383127906585,0.17884701489017954,0.024277356777213186
9,0,0.05688512551813277,0.04381960426642526,0.07435038886497003,0.0554007438429875,0.06470582482489814,0.05886859178088855,0.07188446179031709,0.04550818634685729,0.06034736411913789,0.0635364561723183,0.04096816344848421,0.06359395756217305,0.06193116937024651,0.07514248282439435,0.050196878834811796,0.045845228831550434,0.06490409006432107,0.07761881451898042,0.04873460899213507,0.07152474020317219,0.059788344108860095,0.010917452347859551
10,0,0.23884840717562378,0.25837225207109593,0.250795482532733,0.20914793371907603,0.2652839275238917,0.22780844190322408,0.24167628769806346,0.18461427603389155,0.22232206246262848,0.20751835229675492,0.22193826700136693,0.27354406338062454,0.22714764987724517,0.2376917337883662,0.2514101458861213,0.1885071109991927,0.20374182482554629,0.2626066377226734,0.27481101991087303,0.25739855179831417,0.23525922143036532,0.02638892518768844
11,0,0.01563195618507901,0.02093894085022616,0.019432339567147197,0.019392028536499746,0.014433025599203153,0.018390871662554396,0.018049212332595054,0.019349310485900897,0.01922337348312136,0.017765485817132793,0.015470534004331325,0.018578578515424236,0.019842231985289352,0.019743821265560398,0.015933182953317575,0.016954395196142044,0.01876430525795916,0.013807391948065767,0.02161405590058974,0.02029616588672298,0.018180560371643117,0.0021078626446411615
12,0,0.09688622059699067,0.09826167840063801,0.07524621034741814,0.08185813605705092,0.0943001291791155,0.07032485695198377,0.08296910902760049,0.06504117332210321,0.07551315771203232,0.06556740697136264,0.0795103956578783,0.08740821214318452,0.0790473684815884,0.08223824183351341,0.08408182318580248,0.08555224577781893,0.09496695194575393,0.09158027269576516,0.1113128997546428,0.10222563023419297,0.08519460601382184,0.01184322073365583
13,0,0.43391917898200155,0.551884340424296,0.410949613616816,0.4615744096215495,0.5385524231065093,0.4296799741793568,0.40714348464098815,0.4664534516759154,0.44302900013040186,0.3867545098475485,0.32747956170047116,0.4101431377537729,0.31220016268880957,0.35718005773747386,0.45913674892631673,0.4698665283739026,0.4018999509227012,0.5340243317064477,0.3343032918079165,0.46812920928201995,0.4302151683562608,0.0658217144002053
14,0,0.02765866283091259,0.03466695150175611,0.0363909520369269,0.026620453597655913,0.02752044322806176,0.028049267393982495,0.016502233660481085,0.018483480056353283,0.029731138878157676,0.013989496258820115,0.022751961703588317,0.02516625079669081,0.03222661510227323,0.03343059528280855,0.03295429319967591,0.0329226685277946,0.021148386181262475,0.016095341769718677,0.035885401693020826,0.025714892385601824,0.02689547430427716,0.0067176440162390215
15,0,0.0472292474737526,0.053651390052511384,0.062060409546295575,0.04882815920396712,0.048503439959943676,0.045041148688152295,0.04990862565833858,0.06589002019993388,0.054220003564290895,0.049893924698031396,0.05743153953154418,0.04406512682171833,0.043402481766921776,0.060132378853805596,0.04316989388104232,0.04913564286853251,0.04856503303498688,0.056135949568619545,0.059309277964137416,0.03782407499212675,0.05121988841643264,0.007049431354466299
16,0,0.01909489326430158,0.013762177583582424,0.020003359193657543,0.00950973947196351,0.014768002170816457,0.010663989521735168,0.012146404370907101,0.015511210283595782,0.01556712405472636,0.01562209949698603,0.013249087314170412,0.017476556838491183,0.013785830931773579,0.017830498725576936,0.012804818521151598,0.011749049308101998,0.011655317009624444,0.016427572321112204,0.014952022420857717,0.013402741549856689,0.014499124717649433,0.0027044227992539557
17,0,0.08402467867965928,0.04418122287724752,0.07399940081523407,0.08671073981976403,0.08013751205013249,0.06315445161980063,0.0739271273133681,0.08103467066761338,0.07957700528644371,0.05506086911300745,0.10316661534687153,0.09068138242850145,0.08642773959643033,0.07611420913825742,0.06297826548806867,0.09302338195115671,0.08902460546577537,0.06656365936728612,0.10181165412206916,0.07151263600559306,0.07815559135761402,0.01454712614478419
18,0,0.25664164161297565,0.2639058175221648,0.24555492131573564,0.2523254200872091,0.20311258799068713,0.24082983163196378,0.2404880018854119,0.2510993550209387,0.21187531980482688,0.22593600825327423,0.22640082811938053,0.2444132528412356,0.23101859737113262,0.19602916294798303,0.20810032980467935,0.20669387542554465,0.267870103834163,0.258251342432665,0.2816731913179585,0.25960595383453655,0.23859127715272335,0.023496187299237737
19,0,0.09380235295400523,0.1675738192364806,0.1370734683843198,0.10725529692590954,0.12814315522443054,0.11713423891361543,0.1438574869629452,0.1459417915662286,0.1027648057866994,0.14168190816325207,0.10561839356943957,0.15539632233803632,0.09701323807834217,0.11874135920082429,0.13929579795474747,0.12240011682326003,0.10445740573963803,0.08982072858107197,0.13228686020749256,0.1461246205520911,0.12481915835814147,0.021652348937769576
20,0,0.7761968398700199,0.7833599905156011,0.748386284411274,0.7926756487651004,0.8088099362584935,0.743635609012054,0.7711899126796445,0.8345635972607184,0.8044350719888765,0.730075058939938,0.7667452474863659,0.7605680101101208,0.7842982763229686,0.7995128064228626,0.7560662032634865,0.7846618183742533,0.763333250366375,0.7538798540714446,0.7653013495327954,0.7382692618666659,0.7732982013759527,0.02554305212992635
21,0,0.09429562330360641,0.10809786328367237,0.07879932989132037,0.08146955459539916,0.07034385764862414,0.09531368669031985,0.09401990415734181,0.07683037545320072,0.06541961958733551,0.07775019347765724,0.05883637746983884,0.07443871034248989,0.07501684315656786,0.08081920252520657,0.07344990207798446,0.0765756306373786,0.10246808554952612,0.10652195416754698,0.07052596746234865,0.09120520514050161,0.08260989433089336,0.013408451006807785
22,0,0.1725242914182378,0.1306849646592362,0.15729900347609932,0.18469276040249133,0.1493041262981017,0.14913973982770415,0.17302694835052457,0.15282475462745196,0.14206380709747957,0.13967839733205123,0.18360377966031177,0.17173287195899015,0.13967596078402053,0.161653454946051,0.1805755032731514,0.13449239266350319,0.12654902485069702,0.14230771708297504,0.1945102237489595,0.14936222830671123,0.1567850975382374,0.019410619454151148
23,0,0.22835623870488242,0.28096852211317885,0.2521380698395549,0.350490018186831,0.2963809728607998,0.1838977126826998,0.3083372801735987,0.26926641720311323,0.32050639371993817,0.3077612144002472,0.3508287435290794,0.2508681136601423,0.36491762900985725,0.31162652675452296,0.35128236566806426,0.4205976656480919,0.32029490802442706,0.45846954379381777,0.2986893402249291,0.35291645323599424,0.3139297064716885,0.06176121458483547
24,0,0.37158055630271997,0.3371380222823812,0.3824620081136651,0.344579678062067,0.36490072687033703,0.3737762609961264,0.3695343295910782,0.43497755277975925,0.46310758620240594,0.3697201466665108,0.31544303919435945,0.3172319094140088,0.3213304216048488,0.29337581966434545,0.3203605684306215,0.3313905001679057,0.374884612036993,0.31316229211830326,0.3284346746617294,0.42444434915597007,0.3575917527158069,0.043380994561652036
25,0,0.20898564267906491,0.20620615820530666,0.20513965230642026,0.19708625382505396,0.1885192734406913,0.18824751459702613,0.1311662465511672,0.2059463892673003,0.1975617197708408,0.16903069431122908,0.20302127832187541,0.14490507573100653,0.19992543414864172,0.1751715872764003,0.20352299223771209,0.18815988335292883,0.1962855068348023,0.22691511099609185,0.1813977596362965,0.17155400020408368,0.189437408684697,0.02195254752748253
26,0,0.06534413052747404,0.06871150105762242,0.05570545575344912,0.047314943168282796,0.06653222223913793,0.04558401155192263,0.039378521395558794,0.050781448862845614,0.06681086802486565,0.025116878354757646,0.05293708782169371,0.05055443122846882,0.07372075857306523,0.06759206276600803,0.06602426279312153,0.05740271887630814,0.0681846541236241,0.058072737574363105,0.07508034301887871,0.06196132119278453,0.05814051794521162,0.012183173385763102
27,0,0.05559548814528776,0.057368078043369054,0.059020673849575225,0.05879015665469634,0.048235097820895544,0.057371078378935,0.05821333972885481,0.06579124612141793,0.04542030586761985,0.04782785040489731,0.051674707111002666,0.04542945535685826,0.059742799190232496,0.0540533755716683,0.042871027015115866,0.04152197379173611,0.0487817775801345,0.05676287503262231,0.042015358287397435,0.0510395167057501,0.05237630903290334,0.0067121674247985616
28,0,0.06194564906171393,0.06991333076139399,0.08294626288176518,0.07331857766581966,0.07213538417772045,0.05083544950349588,0.05695924655001144,0.05606995863427945,0.059949870242616374,0.08016263923999119,0.06364419319183376,0.06054212931283069,0.10760718137260873,0.04793614326910942,0.04917104252921924,0.06655067452092511,0.07381837637590746,0.05271087328107277,0.07873027479962667,0.03381711082714164,0.06493821840995415,0.015567458781937715
29,0,0.14748617810200537,0.10468798452966069,0.15876243063570666,0.07890082716193293,0.14067777048271474,0.09526640933235368,0.17685675534207312,0.14978230739570347,0.11539975360408478,0.1494123337153396,0.12189216040558352,0.11768360118777506,0.13578014841634606,0.13746675033477368,0.13628088269666255,0.14280822137251897,0.13559695305042022,0.11962300712637058,0.11365050631206576,0.10578975058667192,0.12919023658953818,0.022772389563247935
30,0,0.04700142871818107,0.026681572015332108,0.054340797055040774,0.0570044644966158,0.04578042433576671,0.0422512540058542,0.035107297148734236,0.057132879221432904,0.03351063101217503,0.03362282343338201,0.04096354090333969,0.060280813145724324,0.046650846071702216,0.039348302554761384,0.04970953546711441,0.04274247000187554,0.0364085897269249,0.05153873434466261,0.035818347429917616,0.05745799142410209,0.04466763712563199,0.009357383940840971
31,0,0.532714371667614,0.5718763857362492,0.5391794924983785,0.4853114198044944,0.5466629285963319,0.5824781856791358,0.541576626224904,0.49048288760670056,0.5889691748530859,0.49664792653609036,0.5394219516836428,0.5263279494875073,0.46287553544007964,0.46364445282915506,0.5354289473652102,0.5105347543743903,0.5099706307456462,0.5560735540844687,0.5264231983127416,0.540491981648213,0.527354617758702,0.03438210918651719
32,0,0.09794424999408027,0.09041170113086722,0.11502956229206851,0.0926747526878803,0.10545657780675095,0.0887622408567977,0.09538412364472051,0.07804875599021889,0.10153904205849804,0.07598034547312084,0.08042581940721838,0.09154536138596847,0.09036685208985558,0.0821160048318289,0.08402657898003166,0.10710375572216232,0.0762464796994603,0.10411255087228516,0.11623222338161227,0.10264183992803645,0.09380244091167313,0.01198026743625322
33,0,0.3136992241000394,0.3449073457409002,0.34172267483939844,0.33018092283035333,0.360031610564078,0.3166823535259109,0.3568160804050107,0.2845779926693267,0.2579673678695326,0.3540080806638209,0.33258133176848526,0.2819410729660244,0.28133154517099146,0.285257725079077,0.3367090401287199,0.32769746324094673,0.3382301409607854,0.29095147741738714,0.2661403596514923,0.2816683578866681,0.31415510837394744,0.0316025651594451
